"Time Interval (UTC)","Area","Instance code","MTU (UTC)","Revenue (EUR)"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 03:00 - 21/04/2026 03:15","-12.39"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 03:15 - 21/04/2026 03:30","-13.30"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 03:30 - 21/04/2026 03:45","-18.23"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 03:45 - 21/04/2026 04:00","-20.41"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 04:00 - 21/04/2026 04:15","-16.92"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 04:15 - 21/04/2026 04:30","-20.58"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 04:30 - 21/04/2026 04:45","-21.84"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 04:45 - 21/04/2026 05:00","-17.22"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 05:00 - 21/04/2026 05:15","-11.89"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 05:15 - 21/04/2026 05:30","-2.61"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 05:30 - 21/04/2026 05:45","-9.64"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 05:45 - 21/04/2026 06:00","-5.34"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 06:00 - 21/04/2026 06:15","-7.41"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 06:15 - 21/04/2026 06:30","-5.76"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 06:30 - 21/04/2026 06:45","-1.37"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 06:45 - 21/04/2026 07:00","-3.52"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 07:00 - 21/04/2026 07:15","-9.55"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 07:15 - 21/04/2026 07:30","-33.12"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 07:30 - 21/04/2026 07:45","-52.12"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 07:45 - 21/04/2026 08:00","-43.10"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 08:00 - 21/04/2026 08:15","-142.35"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 08:15 - 21/04/2026 08:30","-152.85"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 08:30 - 21/04/2026 08:45","-132.56"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 08:45 - 21/04/2026 09:00","-96.47"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 09:00 - 21/04/2026 09:15","-78.40"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 09:15 - 21/04/2026 09:30","-65.65"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 09:30 - 21/04/2026 09:45","-120.18"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 09:45 - 21/04/2026 10:00","-251.29"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 10:00 - 21/04/2026 10:15","-289.30"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 10:15 - 21/04/2026 10:30","-160.18"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 10:30 - 21/04/2026 10:45","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 10:45 - 21/04/2026 11:00","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 11:00 - 21/04/2026 11:15","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 11:15 - 21/04/2026 11:30","-243.15"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 11:30 - 21/04/2026 11:45","-599.62"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 11:45 - 21/04/2026 12:00","-574.28"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 12:00 - 21/04/2026 12:15","646.41"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 12:15 - 21/04/2026 12:30","1166.31"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 12:30 - 21/04/2026 12:45","419.47"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 12:45 - 21/04/2026 13:00","-936.90"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 13:00 - 21/04/2026 13:15","1245.68"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 13:15 - 21/04/2026 13:30","-213.27"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 13:30 - 21/04/2026 13:45","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 13:45 - 21/04/2026 14:00","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 14:00 - 21/04/2026 14:15","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 14:15 - 21/04/2026 14:30","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 14:30 - 21/04/2026 14:45","0.00"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 14:45 - 21/04/2026 15:00","522.26"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 15:00 - 21/04/2026 15:15","-89.88"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 15:15 - 21/04/2026 15:30","-210.66"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 15:30 - 21/04/2026 15:45","-356.79"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 15:45 - 21/04/2026 16:00","-882.06"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 16:00 - 21/04/2026 16:15","-401.96"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 16:15 - 21/04/2026 16:30","-722.35"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 16:30 - 21/04/2026 16:45","-1022.52"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 16:45 - 21/04/2026 17:00","-1429.04"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 17:00 - 21/04/2026 17:15","-155.25"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 17:15 - 21/04/2026 17:30","-441.41"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 17:30 - 21/04/2026 17:45","-1904.80"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 17:45 - 21/04/2026 18:00","-7279.39"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 18:00 - 21/04/2026 18:15","-5059.01"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 18:15 - 21/04/2026 18:30","-4063.60"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 18:30 - 21/04/2026 18:45","-2346.45"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 18:45 - 21/04/2026 19:00","-1213.32"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 19:00 - 21/04/2026 19:15","-1805.79"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 19:15 - 21/04/2026 19:30","-1139.49"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 19:30 - 21/04/2026 19:45","-323.11"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 19:45 - 21/04/2026 20:00","-578.03"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 20:00 - 21/04/2026 20:15","-22.62"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 20:15 - 21/04/2026 20:30","-43.85"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 20:30 - 21/04/2026 20:45","-0.19"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 20:45 - 21/04/2026 21:00","57.38"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 21:00 - 21/04/2026 21:15","-24.71"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 21:15 - 21/04/2026 21:30","-194.36"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 21:30 - 21/04/2026 21:45","-39.49"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 21:45 - 21/04/2026 22:00","-88.51"
