"Time Interval (UTC)","Area","Instance code","MTU (UTC)","Revenue (EUR)"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 14:15 - 20/04/2026 14:30","-14.94"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 14:30 - 20/04/2026 14:45","69.60"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 14:45 - 20/04/2026 15:00","3.22"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 15:00 - 20/04/2026 15:15","18.76"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 15:15 - 20/04/2026 15:30","-2.05"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 15:30 - 20/04/2026 15:45","-5.25"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 15:45 - 20/04/2026 16:00","-133.63"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 16:00 - 20/04/2026 16:15","-201.71"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 16:15 - 20/04/2026 16:30","-140.48"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 16:30 - 20/04/2026 16:45","-482.41"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 16:45 - 20/04/2026 17:00","-2120.94"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 17:00 - 20/04/2026 17:15","-1092.97"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 17:15 - 20/04/2026 17:30","-226.86"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 17:30 - 20/04/2026 17:45","200.60"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 17:45 - 20/04/2026 18:00","-472.03"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 18:00 - 20/04/2026 18:15","-3141.59"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 18:15 - 20/04/2026 18:30","1285.48"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 18:30 - 20/04/2026 18:45","1143.99"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 18:45 - 20/04/2026 19:00","-33.36"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 19:00 - 20/04/2026 19:15","-391.79"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 19:15 - 20/04/2026 19:30","-1760.19"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 19:30 - 20/04/2026 19:45","-850.54"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 19:45 - 20/04/2026 20:00","-1939.96"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 20:00 - 20/04/2026 20:15","-116.52"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 20:15 - 20/04/2026 20:30","213.49"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 20:30 - 20/04/2026 20:45","125.45"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 20:45 - 20/04/2026 21:00","200.60"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 21:00 - 20/04/2026 21:15","-101.27"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 21:15 - 20/04/2026 21:30","-96.02"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 21:30 - 20/04/2026 21:45","-90.98"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 21:45 - 20/04/2026 22:00","-70.79"
